Graph String Name,Masrik Form of Adjacency Matrix
EQ~o,"[0 1 1 1 1 0]
[1 0 1 0 0 1]
[1 1 0 0 0 1]
[1 0 0 0 1 1]
[1 0 0 1 0 1]
[0 1 1 1 1 0]"
EQ~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 1 0 0 0 1]
[1 1 0 0 1 0]"
EUZ_,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 0 1]
[1 0 0 0 1 1]
[0 1 0 1 0 0]
[0 0 1 1 0 0]"
EUZO,"[0 1 1 0 0 0]
[1 0 0 1 0 0]
[1 0 0 0 1 1]
[0 1 0 0 1 1]
[0 0 1 1 0 1]
[0 0 1 1 1 0]"
EUZo,"[0 1 1 1 1 0]
[1 0 1 1 0 0]
[1 1 0 0 1 0]
[1 1 0 0 0 1]
[1 0 1 0 0 1]
[0 0 0 1 1 0]"
EUZw,"[0 1 1 1 1 1]
[1 0 1 1 0 0]
[1 1 0 0 1 0]
[1 1 0 0 0 1]
[1 0 1 0 0 1]
[1 0 0 1 1 0]"
EUxo,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 0 1]
[1 0 0 0 1 1]
[0 1 0 1 0 1]
[0 0 1 1 1 0]"
EUzo,"[0 1 1 1 1 0]
[1 0 1 1 0 0]
[1 1 0 0 1 1]
[1 1 0 0 0 1]
[1 0 1 0 0 1]
[0 0 1 1 1 0]"
EUzW,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 1 1]
[1 1 0 0 0 1]
[1 0 1 0 0 0]
[0 1 1 1 0 0]"
EUzw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 0 1]
[1 1 1 0 0 0]
[1 1 0 0 0 1]
[1 0 1 0 1 0]"
EU~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 0]
[1 1 1 0 0 1]
[1 1 1 0 0 0]
[1 1 0 1 0 0]"
ETzo,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 1 0 1]
[1 1 1 0 0 0]
[1 0 0 0 0 1]
[0 1 1 0 1 0]"
