Graph String Name,Masrik Form of adjacency matrix
J?bBfQ[]@k?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 0 0 1 0 1]
[1 0 0 0 0 0 1 0 1 0 1]
[0 1 1 1 0 0 0 1 0 0 0]
[0 1 0 0 1 0 0 1 0 1 0]
[0 1 0 0 0 1 1 0 0 1 0]
[0 0 1 1 1 0 0 0 0 0 1]
[0 0 1 0 0 0 1 1 0 0 1]
[0 0 0 1 1 0 0 0 1 1 0]"
J?bBdqwXaw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 1 0 1 0 0 0 0 0]
[1 1 0 0 0 1 1 0 0 0 0]
[1 1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 0 0 1 1 1 0 0]
[0 1 1 0 0 0 1 0 0 1 0]
[0 0 1 0 1 1 0 0 0 0 1]
[0 0 0 1 1 0 0 0 0 1 1]
[0 0 0 1 1 0 0 0 0 1 1]
[0 0 0 0 0 1 0 1 1 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?bBbjKMdo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 0 0 1 1 0 0 0 0]
[1 1 0 0 0 1 0 1 0 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[1 0 0 0 0 0 0 1 1 1 0]
[0 1 1 0 0 0 1 0 0 0 1]
[0 1 0 0 0 1 0 0 1 0 1]
[0 0 1 1 1 0 0 0 0 1 0]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 1 1 0 0 1 0 0 1]
[0 0 0 0 0 1 1 0 1 1 0]"
J?bBdZS]@s?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 0 1 1 0 0 0 1 0 0]
[0 1 0 1 0 0 0 1 0 0 1]
[0 1 0 0 0 0 1 0 0 1 1]
[0 0 1 1 1 1 0 0 0 0 0]
[0 0 1 0 1 0 0 1 0 0 1]
[0 0 1 0 0 0 1 1 0 1 0]"
J?bBbZWm@k?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 1 0 1 0 0 0 0 0]
[1 1 0 0 0 0 1 1 0 0 0]
[1 1 0 0 0 0 1 0 1 0 0]
[1 0 0 0 0 1 0 1 1 0 0]
[0 1 0 0 1 0 0 1 0 1 0]
[0 0 1 1 0 0 0 0 0 1 1]
[0 0 1 0 1 1 0 0 0 0 1]
[0 0 0 1 1 0 0 0 0 1 1]
[0 0 0 0 0 1 1 0 1 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?bBfDwNCw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 1 0 1 0 0]
[0 1 0 1 1 0 0 0 0 0 1]
[0 1 0 0 1 0 0 1 0 0 1]
[0 1 0 0 0 0 1 0 0 1 1]
[0 0 1 1 1 0 0 0 0 1 0]
[0 0 1 1 0 0 0 1 1 0 0]
[0 0 1 0 0 1 1 1 0 0 0]"
J?bBbfgNCw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 1 1 0 0 0 0 0 0]
[1 1 0 0 0 1 1 0 0 0 0]
[1 1 0 0 0 1 0 1 0 0 0]
[1 1 0 0 0 0 0 1 1 0 0]
[0 0 1 1 0 0 0 0 0 1 1]
[0 0 1 0 0 0 0 1 1 1 0]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 0 1 0 1 0 0 1 1]
[0 0 0 0 0 1 1 0 1 0 1]
[0 0 0 0 0 1 0 1 1 1 0]"
J?bBbdwjCw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 1 0]
[0 1 0 1 0 0 0 1 0 0 1]
[0 1 0 0 1 0 0 1 0 0 1]
[0 1 0 0 0 1 1 0 0 0 1]
[0 0 1 1 1 0 0 0 0 1 0]
[0 0 1 1 1 0 0 0 1 0 0]
[0 0 1 0 0 1 1 1 0 0 0]"
J?bBeUs]@w?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 0 1 0 1 0 1]
[0 1 1 0 0 0 0 1 1 0 0]
[0 1 0 1 1 0 0 0 0 1 0]
[0 1 0 0 0 1 0 0 0 1 1]
[0 0 1 1 1 1 0 0 0 0 0]
[0 0 1 0 0 0 1 1 0 0 1]
[0 0 0 1 1 0 0 1 0 1 0]"
J?bBdUs]Aw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 1 0 0 1 0 1]
[0 1 1 0 1 0 0 0 0 1 0]
[0 1 0 1 0 0 0 1 1 0 0]
[0 1 0 0 0 0 1 0 0 1 1]
[0 0 1 1 1 0 1 0 0 0 0]
[0 0 1 0 0 1 0 1 0 0 1]
[0 0 0 1 1 0 0 1 0 1 0]"
